person,local_filename,download_url,license_basis,source_file_page
Alan Dershowitz,Alan_Dershowitz.png,https://upload.wikimedia.org/wikipedia/commons/a/a8/Alan_Dershowitz.png,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:Alan_Dershowitz.png
Bill Clinton,Bill_Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Bill_Clinton.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Bill_Clinton.jpg
Bill Gates,Bill_Gates_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bill_Gates_2018.jpg,Public domain (US HHS work),https://commons.wikimedia.org/wiki/File:Bill_Gates_2018.jpg
Bill Richardson,Bill_Richardson.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Bill_Richardson_official_photograph_as_Secretary_of_Energy.jpg,Public domain (US DOE work),https://commons.wikimedia.org/wiki/File:Bill_Richardson_official_photograph_as_Secretary_of_Energy.jpg
Donald Trump,Donald_Trump_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_(2025).jpg
George W. Bush,George_W_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/George-W-Bush.jpeg,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:George-W-Bush.jpeg
Hillary Clinton,Hillary_Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Official_White_House_Portrait_of_Hillary_Clinton.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Official_White_House_Portrait_of_Hillary_Clinton.jpg
Chelsea Clinton,Chelsea_Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Chelsea_Clinton_wraps_her_arms_around_President_Bill_Clinton.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Chelsea_Clinton_wraps_her_arms_around_President_Bill_Clinton.jpg
Merrick Garland,Merrick_Garland.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/2016_Merrick_Garland_by_The_White_House_09.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:2016_Merrick_Garland_by_The_White_House_09.jpg
James Comey,James_Comey.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/James_Comey_official_portrait_%28cropped%29.jpg,Public domain (FBI work),https://commons.wikimedia.org/wiki/File:James_Comey_official_portrait_(cropped).jpg
Prince Andrew,Prince_Andrew.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Defense.gov_News_Photo_111201-D-BW835-012_-_Secretary_of_Defense_Leon_E._Panetta_speaks_with_The_Duke_of_York_Prince_Andrew_at_the_Centennial_Commemorative_Gala_for_Naval_Aviation_at_the.jpg,Public domain (US DoD work),https://commons.wikimedia.org/wiki/File:Defense.gov_News_Photo_111201-D-BW835-012_-_Secretary_of_Defense_Leon_E._Panetta_speaks_with_The_Duke_of_York_Prince_Andrew_at_the_Centennial_Commemorative_Gala_for_Naval_Aviation_at_the.jpg
Tony Blair,Tony_Blair.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Tony_Blair_at_the_White_House_%282001-11-07%29.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Tony_Blair_at_the_White_House_(2001-11-07).jpg
Ehud Barak,Ehud_Barak.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ehud_Barak_official.jpg,CC0 / Public domain dedication,https://commons.wikimedia.org/wiki/File:Ehud_Barak_official.jpg
Ghislaine Maxwell,Ghislaine_Maxwell.webp,https://upload.wikimedia.org/wikipedia/commons/8/8c/Ghislaine_Maxwell_MDC_mug_shot.webp,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:Ghislaine_Maxwell_MDC_mug_shot.webp
Jeffrey Epstein,Jeffrey_Epstein.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Jeffrey_Epstein_2006_mug_shot_%283x4_close_cropped%29.jpg,Public domain (Florida public record),https://commons.wikimedia.org/wiki/File:Jeffrey_Epstein_2006_mug_shot_(3x4_close_cropped).jpg
George Clooney,George_Clooney.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/George_Clooney_2016.jpg,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:George_Clooney_2016.jpg
George Mitchell,George_Mitchell.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/George_Mitchell_close-up_%28cropped%29.jpg,Public domain (US State Dept work),https://commons.wikimedia.org/wiki/File:George_Mitchell_close-up_(cropped).jpg
Robert De Niro,Robert_De_Niro.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Robert_De_Niro_with_Kennedy_Center_Honor_at_the_White_House_on_December_6%2C_2009_%28cropped%29.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Robert_De_Niro_with_Kennedy_Center_Honor_at_the_White_House_on_December_6,_2009_(cropped).jpg
Jay-Z,Jay_Z.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Michelle_Obama_with_Jay_Z.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Michelle_Obama_with_Jay_Z.jpg
Ivanka Trump,Ivanka_Trump.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Ivanka_Trump_official_photo.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Ivanka_Trump_official_photo.jpg
Jared Kushner,Jared_Kushner.png,https://upload.wikimedia.org/wikipedia/commons/1/1e/Jared2017.png,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Jared2017.png
Melania Trump,Melania_Trump.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Melania_Trump%E2%80%99s_Official_White_House_Portrait_%282025%29.jpg,Public domain (White House/EOP),https://commons.wikimedia.org/wiki/File:Melania_Trump%E2%80%99s_Official_White_House_Portrait_(2025).jpg
Lindsey Graham,Lindsey_Graham.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Lindsey_Graham_official_photo.jpg,Public domain (US Congress),https://commons.wikimedia.org/wiki/File:Lindsey_Graham_official_photo.jpg
Nikki Haley,Nikki_Haley.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Nikki_Haley_official_photo.jpg,Public domain (US Gov work),https://commons.wikimedia.org/wiki/File:Nikki_Haley_official_photo.jpg
