efta,file_size_bytes,pages,words
EFTA00009016,9731930,130,29366
EFTA00009116,11081220,140,31474
EFTA00009229,9348500,122,26687
EFTA00009329,9493579,135,30466
EFTA00009428,2123342,13,536
EFTA00009440,1592256,12,1349
EFTA00009448,10112913,30,5525
EFTA00009478,7104458,23,3880
EFTA00009502,3494963,12,1875
EFTA00009512,12102088,40,7511
EFTA00009550,12454450,40,7716
EFTA00009586,3661103,51,9566
EFTA00009622,1523492,10,653
EFTA00009632,7262950,15,2678
EFTA00009654,128978,5,360
EFTA00009658,592631,4,260
EFTA00009664,1214134,16,2858
