efta,sha256
EFTA00009016,96c34df552b30a4dd46176c1818468e9bbddb64bb0a5c9dd7d56bbdc5c444465
EFTA00009116,584b092789c3718a1e2081aedeb69f3febcf5f370eaaac79f870ae741a559926
EFTA00009229,3703cbb62d6af5d6a037bdac89413cdf3adab5f733a47ae5a07db94245925991
EFTA00009329,7f113fabbb5f76cde9e5addee29a0f6b8c0eb785dc7357b5b1128c12e143229e
EFTA00009428,fe3a6cbf26281fb875daf3b9ccb91e5278f591082dd4a71f87c786796a3033d5
EFTA00009440,bba44f52ed6dae64994595b65f7e3dbf1b2422437d52cae9450c077ce139afc5
EFTA00009448,007c15194efb1feb6565c903e9cee81adb466b719302391c63aa7e274fa30443
EFTA00009478,4d085a827108e674ac991d17a26e348e728cd63c34098ec990ae8cab8a2f5af4
EFTA00009502,088b7d62b4611a8210ae0260f0eb73f80def205d2a9c9326a22eb70052dda115
EFTA00009512,fbd8343f9eee79f1c552dd38e27ee713a90f2f21fe4d769fb768f40acca1af60
EFTA00009550,751573fd06937a3dc1629429327272d54963de0c30170f2f543d74922d74e848
EFTA00009586,f82e0aa52918a2461631e07254aa9d20219f6db9df6521b05043257345ef3013
EFTA00009622,b2b0ceb43c7616c63f09623389e32390dae416d1f7dfbbc7a2ecb7e18ea21383
EFTA00009632,5120d59249d62d8f661abb57a6e037ea34e3acd95fb63db4c77cd5c351d57c68
EFTA00009654,c8efcca27e17a0f12c90983ddf1f9349ac532bfefd7b9723eaae9139a6052e42
EFTA00009658,8e88155e518f85933c76f5698b0340a389ca44a9edd2ec1cce8785003636d1a1
EFTA00009664,f218b2d1dc4b4b3429924f12ea37764cf86894f15fcdd99ef9bfcddf1682e8e4
